"Story","Title","Result","Date","Stability","Duration (s)"
"Check on application status","Application status end-point","SUCCESS","2021-04-27T19:49:46.547519-05:00[America/Bogota]","0.0","5.34"
"Record a new trade","Each trade has a unique ID","SUCCESS","2021-04-27T19:49:51.926648-05:00[America/Bogota]","0.0","1.32"
